id,income,age,experience_years,city,region,current_job_years,current_house_years,profession,label,is_married_married,is_married_single,house_ownership_norent_noown,house_ownership_owned,house_ownership_rented,car_ownership_no,car_ownership_yes
1,5354632,75,19,106,11,8,10,26,0,False,True,False,False,True,True,False
2,4968665,72,11,90,0,3,13,17,0,False,True,False,True,False,False,True
3,2378698,61,18,235,22,12,13,33,0,False,True,False,False,True,True,False
4,9368198,79,17,314,0,11,11,48,0,False,True,False,False,True,False,True
5,3316209,30,13,128,20,13,12,13,0,False,True,False,False,True,True,False
6,6330110,74,17,71,28,11,13,26,0,False,True,False,False,True,True,False
7,5053903,73,1,107,13,1,13,20,0,True,False,False,False,True,False,True
8,1728444,66,10,138,25,10,13,32,0,False,True,False,False,True,False,True
9,2062343,40,15,28,25,14,11,5,0,True,False,False,False,True,False,True
10,6640673,30,15,308,6,6,11,9,0,False,True,False,False,True,False,True
11,3992999,37,13,134,6,5,12,49,0,False,True,False,False,True,True,False
12,5039877,46,14,73,22,9,14,23,0,False,True,False,False,True,False,True
13,6865280,60,17,11,20,13,13,41,0,False,True,False,False,True,False,True
14,2695274,57,12,182,14,10,12,9,0,False,True,False,False,True,True,False
15,2077242,32,8,47,4,3,10,7,0,False,True,False,False,True,True,False
16,431500,51,10,68,14,10,11,46,0,False,True,False,False,True,False,True
17,6986458,35,11,71,28,8,14,31,0,False,True,False,False,True,True,False
18,8365916,31,18,69,2,5,10,30,0,False,True,False,False,True,False,True
19,8105018,74,12,265,28,11,10,11,0,False,True,False,False,True,False,True
20,4618322,57,13,223,7,3,10,49,0,False,True,False,False,True,True,False
21,3326988,42,7,19,6,7,14,7,0,False,True,False,False,True,True,False
22,9954962,66,8,66,2,8,10,12,0,False,True,False,False,True,True,False
23,8461353,33,2,268,11,2,13,3,0,False,True,False,False,True,True,False
24,6706172,41,16,121,28,6,10,7,0,False,True,False,False,True,True,False
25,5959009,50,10,242,0,7,10,13,0,False,True,False,False,True,True,False
26,7691997,48,18,8,12,8,12,41,0,False,True,False,False,True,False,True
27,6374359,30,14,18,25,6,13,33,0,False,True,False,False,True,False,True
28,7906410,60,8,214,5,8,11,9,0,False,True,False,False,True,True,False
29,825128,39,8,163,12,8,14,5,0,False,True,False,False,True,True,False
30,6885928,79,15,177,28,13,13,0,0,True,False,False,False,True,True,False
31,59539,51,3,177,28,3,12,6,0,True,False,True,False,False,True,False
32,9627539,56,2,309,25,2,13,18,0,False,True,False,False,True,False,True
33,6019535,75,9,202,6,3,13,46,0,False,True,False,False,True,False,True
34,2055989,25,18,74,17,3,10,41,0,False,True,False,False,True,True,False
35,3864368,58,13,197,14,8,13,50,0,False,True,False,False,True,False,True
